DE0 143,DE0 143-x
DE0 143,DE0 8
FR0 18,FR0 29
FR0 18,FR0 18-x
FR0 18,FR0 98
PL0 25,PL0 25-x
PL0 25,PL0 6
BG0 5,BG0 2
GB4 76,GB4 76-x
GB4 76,GB4 17
GB4 79,GB4 4
GB4 79,GB4 86
GB4 79,GB4 79-x
GB4 6-x,GB4 6
DK0 3-x,DK0 3
NL0 36,NL0 15
NL0 36,NL0 36-x
FR0 37,FR0 73
FR0 37,FR0 153
FR0 37,FR0 37-x
PL0 6,PL0 12
PL0 6,PL0 19
PL0 6,PL0 6-x
FR0 127,FR0 127-x
FR0 127,FR0 37
NL0 4-x,NL0 4
SK0 0,SK0 3
SK0 0,SK0 0-x
FR0 124,FR0 53
ES0 5,ES0 70
ES0 5,ES0 5-x
ES0 5,ES0 27
ES0 5,ES0 75
DE0 96,DE0 120
DE0 96,DE0 96-x
ES0 72-x,ES0 72
DE0 25,DE0 25-x
DE0 25,DE0 35
PL0 12,PL0 12-x
PL0 12,PL0 38
PL0 12,PL0 41
SE6 22,SE6 22-x
AT0 5,AT0 5-x
AT0 5,AT0 0
FR0 7,FR0 7-x
FR0 7,FR0 55
FR0 7,FR0 13
FR0 7,FR0 48
GB4 17,GB4 32
DE0 39,DE0 39-x
DE0 39,DE0 92
DE0 39,DE0 26
ES0 41,ES0 52
ES0 41,ES0 11
ES0 41,ES0 20
ES0 41,ES0 41-x
CH0 0,CH0 11
CH0 0,IT0 98
DE0 57-x,DE0 57
FR0 123,FR0 155
FR0 123,FR0 123-x
RS0 10,RS0 10-x
RS0 10,RS0 6
IT0 71-x,IT0 71
DE0 24,DE0 88
DE0 24,DE0 60
FI6 18-x,FI6 18
SE6 38-x,SE6 38
GR0 2,GR0 5
GR0 2,GR0 13
FR0 137,FR0 8
FR0 137,FR0 31
CZ0 9,CZ0 4
CZ0 9,CZ0 0
CZ0 9,CZ0 3
CZ0 9,CZ0 9-x
GB4 66,GB4 66-x
GB4 66,GB4 40
NO6 16,NO6 22
NO6 16,NO6 25
NO6 16,NO6 16-x
NO6 16,NO6 11
NO6 16,NO6 35
SE6 15,SE6 15-x
SE6 15,SE6 40
HU0 2,HU0 2-x
HU0 2,HU0 5
HU0 2,HR0 3
FR0 160,FR0 160-x
FR0 160,FR0 33
FR0 156,FR0 156-x
IT0 89,IT0 89-x
IT0 89,IT0 96
IT0 33,IT0 54
IT0 33,IT0 33-x
IT0 33,IT0 63
IT0 33,IT0 81
IT0 33,IT0 94
IT0 33,IT0 34
DK0 1-x,DK0 1
DE0 97,DE0 97-x
DE0 97,DE0 14
IT0 21,IT0 45
FR0 137-x,FR0 137
GB4 52,GB4 26
GB4 52,GB4 52-x
ES0 4,ES0 22
ES0 4,ES0 21
SE6 20,SE6 4
SE6 20,SE6 20-x
SE6 20,SE6 29
FR0 14-x,FR0 14
GB4 38,GB4 51
GB4 38,GB4 38-x
GB4 38,GB4 1
GB4 55,GB4 31
GB4 55,GB4 55-x
IT0 34,IT0 5
IT0 34,IT0 34-x
IT0 34,IT0 22
IE2 3,IE2 1
IE2 3,IE2 3-x
DE0 121,DE0 37
DE0 121,DE0 121-x
ES0 2,ES0 59
ES0 2,ES0 63
FR0 77,FR0 77-x
FR0 113-x,FR0 113
BE0 22,BE0 22-x
BE0 22,BE0 3
IT0 97,IT0 97-x
IT0 97,IT0 6
IT0 97,IT0 53
NO6 25,NO6 15
NO6 25,NO6 25-x
IT0 9-x,IT0 9
ES0 66,ES0 9
ES0 66,ES0 21
GB4 70,GB4 24
GB4 70,GB4 21
GB4 70,GB4 70-x
IT0 25,IT0 46
IT0 25,IT0 25-x
IT0 25,IT0 67
IT0 86,IT0 51
IT0 86,IT0 86-x
IT0 15,IT0 90
IT0 15,IT0 53
IT0 15,IT0 87
IT0 15,IT0 15-x
GB4 54,GB4 87
GB4 54,GB4 94
GB4 54,GB4 54-x
DE0 84-x,DE0 84
FR0 4,FR0 4-x
FR0 4,FR0 105
FR0 4,FR0 106
FI6 5,FI6 17
FI6 5,FI6 25
FI6 5,FI6 11
FI6 5,FI6 5-x
ES0 66-x,ES0 66
DE0 10,DE0 10-x
SK0 6,SK0 4
SK0 6,SK0 1
SK0 6,SK0 7
SK0 6,SK0 0
SK0 6,SK0 6-x
NO6 12,NO6 3
NO6 12,NO6 12-x
NO6 21,NO6 14
NO6 21,NO6 4
NO6 21,NO6 30
GB4 81,GB4 56
GB4 81,GB4 81-x
BE0 5-x,BE0 5
DE0 146,DE0 99
DE0 146,DE0 146-x
EE5 2,EE5 2-x
EE5 2,EE5 1
ES0 0-x,ES0 0
IT0 90,IT0 96
IT0 90,IT0 90-x
IT0 90,IT0 87
IT0 90,IT0 49
GR0 13-x,GR0 13
PL0 3,PL0 3-x
PL0 3,PL0 18
PL0 3,PL0 46
BE0 4,BE0 27
